auteur;opinion;commentaire;note;date
HR;Pratique et fiable;Nouvelles recettes que je ne connaissais pas, des produits frais,Des produits au top;5; 18 janvier 2023
Fanny;Les recettes sont bonnes et variées;Les plats sont plutôt bien. Par contre pour la facturation pas clair du tout des prélèvements supplémentaires sans que l'on sache à quoi ils correspondent et personnes pour donner de réponses. Je pense que je vais tout arrêter.;4; 03 janvier 2023
Émilie Magrino;Nouvelles recettes que je ne…;J ai aimé le principe sans prise de tête pour la liste des courses puisque tout est livré dans les bonnes proportions. En plus ma fille qui n'aide jamais en cuisine s'y est intéressée aussi donc de bons moments à deux. Un seul bémol le tarif qui ne me permets pas d'en faire notre approvisionnement principal. Apres 6 box je fais donc une pause.;4; 17 janvier 2023
Valerie Manaux;Méconte;"Je pense qu'on ne présente plus Hellofresh... en ce début d'année j'ai voulu tenter l'expérience,  famille de 2 adultes et 3 enfants de 3 à 12 ans, on tourne vite avec les mêmes recettes et la corvée des repas devient vite une grosse galère.Bref, on a donc choisi Hellofresh dans l'optique de découvrir de nouveaux goûts, nouvelles recettes. La charge mentale du ""qu'est ce qu'on mange ce soir"" est bien réduite et tout est fait pour que ce soit simple à mettre en place. C'est un bonheur à cuisiner et à déguster ! L'application est très intuitive, mention spéciale aux chronos intégrés pour les cuissons, encore fois tout est pensé pour nous simplifier la vie!On continue l'expérience avec plaisir!";5; 18 janvier 2023
STEPHANIE BERRA;J ai aimé le principe sans prise de…;Recettes agréables et simples à suivre. Hello fresh me permet de passer du temps en famille à cuisiner au calme, à la place de courir les magasins pour les repas, je ne mets pas moins de temps mais j'ai transformé du temps peu agréable en un moment familial et convivial.Mon seul bémol : globalement la portion des légumes dans les recettes pourraient facilement être augmentées de 1/3.;3; 18 janvier 2023
Audrey;Hellofresh nous simplifie la vie!;J'aime beaucoup le concept. Le fait d'avoir une fiche bien détaillée permet d'apprendre à bien faire même si on ne sait pas, on selectionne la recette en fonction du temps de cuisson (A table), les photos des produits avec leur noms c'est également une super idée. La livraison aide beaucoup à géré le temps.Le seul bémol se sont pour moi les viandes (très fines tranches ou v. Hachée grasse) mais ça nous permet aussi d'intégrer des menus veggies.Ici avec ma famille nous découvrons à chaque menus soit de nouvelles saveurs soit des combinaisons que je n'aurais pas testé. Jusqu'à ce jour jamais déçu;4; 09 janvier 2023
Cecile;Passer un temps convivial au lieu de courir les magasins;produits de bonne qualité, recette simple, portion généreuse, c'est dommage que le prix est un peu élevé  je voulais contacter le service commercial mais aucun numéro trouvé.;5; 18 janvier 2023
Delalande Stephanie;J'aime beaucoup le concept;1ère expérience très satisfaisante, reste les 3 autres menus de la semaine dès ce soir!!;4; 18 janvier 2023
Virginie;produits de bonne qualité;Livraison médiocre avec du retard,le service transport ne trouve pas trouver mon dossier, me demandant un numéro de colis, ce qui est difficile a donner étant donner que je l'ai pas reçu, l'interlocutrice n'été pas professionnel le. Résultat, je suis arrivé en retard à mon travail.Les repas sont très bon, pour la préparation c'est bien expliqué, super.Par contre les quantités sont très limité et le prix est je trouve un peu excessif.;5; 18 janvier 2023
GAGNERE CARINE;1ère expérience très satisfaisante;J'adore les nouvelles recettesJe découvre différentes façons de préparer des plats, la cuisine est devenue le plaisir. On aime bien préparer les plats ensemble, c'est facile et satisfaisant;4; 17 janvier 2023
Tony ;Livraison médiocre avec du retard,le…;Je suis globalement contente de mon expérience Hellofresh car cela m'a permis de découvrir de nouvelles recettes et des astuces que j'utilise dans mon quotidien. Par contre, j'ai remarqué une baisse de la qualité des produits sur les dernières livraisons et également des recettes sans les quantités indiquées...;5; 11 janvier 2023
Ania;J'adore les nouvelles recettes;Les produits sont très bons, frais, recette de qualités simples à réaliser et équilibrés.Néanmoins les livraisons sont catastrophiques, en retard pas de quelques heures mais de 2 à 3 jours régulièrement, colis sans dessus dessous...;4; 17 janvier 2023
marie Beghelli;Recettes sympas et originales en plus…;Recettes sympas et originales en plus d'être de saison. Produits principalement d'origine françaises. Horaires de livraison adaptés.;3,5; 13 janvier 2023
Marina Almeida de Oliveira;Je ne recommande pas;"Je ne recommande pas, plusieurs problèmes rencontrés :1) Livraison avec élément manquant (viande) avec un avertissement la veille de la livraison avec un remboursement infime de 6 euros (soit 35  euros payés pour les 3 box que avec des légumes) ;2) Soucis avec la livraison -> colis avarié3) Souscription en utilisant le code promotion que vous promet 85 euros de réduction sur vos 4 premières livraisons et une possibilité de pauser votre abonnement à tout moment:- 25 euros sur la prémière livraison- 15 euros sur la déuxième livraison- 15 euros sur la troisième livraison- 10 euros sur la quatrième livraisonce qui est mentionné nulle part (et j'ai bien essayé de faire le service client m'indiquer où sur les conditions de l'offreest indiqué cette clause) et que si vous suspendez l'abonnement pour une semaine vous perdez droit à la réduction.Echange après vente non concluant et avec un employé à la limite de l'impolitesse.pour une promo qui vise à fidéliser des nouveau clients, c'est le gros échec!";5; 17 janvier 2023
Marjorie Papet;Trop de plats à base de riz sur la…;Trop de plats à base de riz sur la semaine 3/4 ils y a du riz;1; 17 janvier 2023
Stéphanie  Martin;Produits très fraisecette diverses et…;Produits très frais recette diverses et originales . C'est un bonheur de commander hellofresh;3; 04 janvier 2023
Céline  ANTONINI;Innover;Au départ j ai pris hello fresh par manque d inspiration et manger des choses qu on ferait pas special,changer et en plus économiquement , ça évite d avoir du surplus, pour l instant je suis fan à voir dans la durée ,si les plat ne ce répète pas trop par contre panier de fruits finis cher pour la quantité et qualité (en discutant je suis pas là seule a avoir été déçu );5; 18 janvier 2023
christelle pivaty;Pas de livraison;La livraison. Je n'ai pas reçu mon colis.aucun numéro à appeler.jusqu'a ce que je décide de supprimer mon compte et la un numéro apparaît. Le le livreur n'a même pas sonné. Livraison reporté 2 jours plus tard. je dois prendre une journée pour recevoir mon colis;4; 16 janvier 2023
Nat;Top.;Pratique , permet de manger plus variés;1; 13 janvier 2023
Grave;JE DÉCONSEILLE VIVEMENT !;JE DÉCONSEILLE VIVEMENT !! J’ai commandé 4 box (pas faute de persévérance) Aucune ne m’a été livrée.Ils décident donc de me créditer de 2/4 pas très fair-play Et en prenant une boxe avec le crédit, ils me déduisent tout de même 60euros. Ah oui, les prix augmentent de semaine en semaine. Ce sont des voleurs !;4; 18 janvier 2023
david baly;Très contente de Hello Fresh ,tout est…;Très contente de Hello Fresh ,tout est bien expliqué  , les recettes sont bonnes,  petit soucis mozzarella périmée semaine dernière , si pas de reproche sur Hello Fresh par contre les livraisons souvent des soucis et en plus on retrouve tout mélangé dans le carton;1; 13 janvier 2023
Kathy Kayser;Le concept est intéressant;Le concept est vraiment intéressant, les dosages sont parfaits. Cependant, les tarifs sont attractifs avec remise.  Je reste sceptique quant au mode de livraison... Chronopost. Du coup impossible d'agir sur l'horaire de livraison.;5; 17 janvier 2023
Emilie  DURIEUX;N'hésitez plus;Je recommande vraiment hello fresh, cela fais déjà 15 jours que je ne passe que ça ce site.j'ai fais des économies sur les courses je perd pas mon temps dans les magasin a acheter trop ou des choses qui vont finir a la poubelle. Un gain de temps précieux ... Des recettes délicieuses et facile à cuisiner zéro gaspillage ces top ...;3; 17 janvier 2023
Sandrine Cesari et maeva;Après vente mal géré;Très bons produits à condition de ne pas déménager. Ma fille  a donné plusieurs fois sa nvlle adresse mais les livraisons se faisaient à l ancienne adresse.. Elle a été prélevée de 3 box et n en a eu qu 1. Au bout d 1h de discussions avec le service qui ne veut pas reconnaître son erreur elle n obtient qu un avoir d une box.. Désolant.. C'est dommage de perdre des clients comme ça..;5; 17 janvier 2023
Carine Clement;Satisfaction;Les recettes sont excellentes. Les produits frais et de qualité. BRAVO👍;3; 17 janvier 2023
Sébastien F;La qualité des produits à très…;La qualité des produits à très largement baissé... en particulier les salades et herbes fraîches (presentés dans bcp de recettes)...Même en s'adonnent à de savants calculs pour gérer l'ordre des recettes et les ingrédients, ces derniers sont trop abîmés et on en perd, obligeant à en racheter ou à perdre le repas...Cela fait deux fois que je signale que des salades arrivent déjà immangeables et la seule réponse que j'obtiens un une réduction ridicule... Énormément d'emballages!!!;4; 10 janvier 2023
Manon;Du grand n'importe quoi;"Quand il manque un produit, hellofresh fait un crédit et ne rembourse jamais. Evidemment, l'avoir n'est pas cumulable avec les promotions, il faut payer plein pot si vous voulez l'utiliser. La dernière fois, je reçois un sms m'indiquant qu'il manque un produit et que je devrais l'acheter moi-même pour la recette, mais qu'on me le ""rembourse"" via un crédit. Il me reste 2 boxs avec promotion, donc ça veut dire que je ne peux utiliser ce crédit avant deux semaines : si je me désabonne, je peux l'oublier.A partir du moment où le commerçant est fautif et ne peut honorer la commande, il ne peut pas forcer le client à se faire rembourser par un avoir s'il ne veut pas, il lui doit le remboursement : c'est la loi. Hellofresh seraient-ils au-dessus des lois?";1; 09 janvier 2023
Podoret;Excellent;Très belle entreprise avec de bon produit feraitExcellent;2; 01 janvier 2023
Yasmine RICARDO;Essayer vous ne serez pas déçu au Top;Bonjour à tous franchement je recommande vivement les repas WAUW délicieux toujours des bonnes recettes et franchement j'aime manger beaucoup est l'assiette est copieuse les ingrédients sont d'une grande qualité je ne le regrette pas. Pour ma part je n'ai pas de problème avec la livraison au top.Un grand merci à Hello Fresh France;5; 16 janvier 2023
Delphine Tqn;Bon mais long;J'adore les repas qui sont excellents, les produits frais. Le temps gagné à ne plus faire de courses est un bénéfice non négligeable.Seul point noir à ce jour, le temps de préparation. En effet, j'ai choisi les menus rapidos et malgré ça ça me prend beaucoup trop de temps malheureusement.;5; 17 janvier 2023
MARIA LEFEBVRE;concept ingénieux;concept ingénieux, plus de courses, fiches repas très bien expliquées, recettes excellentes faciles à réaliser, bravo à l'équipe;4; 17 janvier 2023
Valentin;Première expérience chez HelloFresh;Première expérience chez HelloFresh et avis plus que mitigé.Produits de bonne qualité, mais soucis sur l’expédition : manque des ingrédients et même des ingrédients sont différents !Après contact avec le service client, j’ai reçu un mail d’un autre client Hello Fresh car ils se sont trompé et on donner mon adresse mail à celui-ci ! J’ai été remboursé sous forme de crédit d’une partie, je verrais donc sur la prochaine…Je modifie mon avis ! Après avoir été prélevé de ma prochaine box on m’apprends que le crédit présent sur mon compte n’est pas cumulable avec d’autres promotions, ce que je peux comprendre mais que l’on ne m’a jamais indiqué ! J’ai dû appeler le service client pour supprimer les réductions des prochaines box pour espérer utiliser le crédit… je n’aime pas du tout cette façon de faire. Je ne recommanderais plus. Terminé;5; 09 janvier 2023
Lucile Touzan;Les boxs ne sont pas livrées aux jours…;Les boxs ne sont pas livrées aux jours choisis initialement. Horaires de livraison pas adaptés, client prévenu trop tard: le jour même;3,5; 13 janvier 2023
NATHALIE MARIN MANCINI;plus de prise de tête sur le choix des…;plus de prise de tête sur le choix des repas, les courses sont livrées,donc plus de temps pour soi.Que du bonheur!Les recettes sont délicieuses et variées.;3; 17 janvier 2023
Athmani Karim;Déçu;BonjourJe devais recevoir ma box le samedi 14 janvier entre 8h et 14h et je ne l ai reçu que le mardi 17.J'ai essayer de joindre le service client via la messagerie...pas de nouvelles. Je n avais aucun moyen de savoir quand j aller recevoir ma box et donc je suis allé faire mes courses. Je me retrouve donc avec mes courses plus ma box hello fresh. Quelle expérience pour une première.  Je suis assez déçu. J'espère un retour de votre part.MerciCrdt;5; 13 janvier 2023
Emmanuelle Bontemps;Très bon produit et facile à realise;Très bon produit , quantité largement suffisante. Juste les créneaux horaires qui devraient être plus juste cela éviterai de rester bloqué la journée;1; 17 janvier 2023
Laure Saumon;Très bon produit;Le principe est sympa les recettes sont bonnes. Les quantités de viandes et de poissons sont un peu faible surtout pour un homme. Et ça manque un peu de légumes c'est souvent salade et pomme de terre;5; 16 janvier 2023
Violaine  Heimlich;Le principe est sympa les recettes sont…;J'aime beaucoup leurs recettes. Ells sont très bonne et équilibrés. Je trouve ce fonctionnement pratique pour les personnes seule ou qui n'ont pas forcément le temps d'aller faire des courses. Les recettes sont quasiment tous le temps variés. Peut être parfois trop de répétions de recettes en l'espace de temps. Le seul problème est que les prix reste chères et aucune réduction ne sont proposée aux clients réguliers (peut être à revoir).;4; 09 janvier 2023
ANTOINE Justine;J'aime beaucoup leurs recettes;Plats succulents et qui changent de la routine.juste dommage que nous ne puissions pas modifier le nombre de personnes par plat.;4; 13 janvier 2023
Stéphanie Van driessche;Plats succulents et qui changent de la…;C'est super, menus équilibrés, tout est prêt à préparer. Nous choisissons nos recettes et c'est tellement bon !;5; 17 janvier 2023
Delphine M.;C'est super;Les recettes sont originales et élaborées. De ce faite les plats végétariens restent agréables et apétissants;4; 10 janvier 2023
Denis Metzger;Plats végatariens;Au niveau recette et produit ça se passe bien pour ma première box.La 2eme je ne l ai pas reçue. Elle devait arriver le 16 on est le 18.....vive les produits fragiles tel que le poisson.Et impossible de contacter qui que ce soit tjs à discuter avec un robot .....quelle époque.;5; 13 janvier 2023
sabine delin;Au niveau recette et produit ça se…;Les plats sont vraiment délicieux et faciles à réaliser, dommage que ce soit si cher à l’issue des remises offertes les premières semaines…;4; 17 janvier 2023
SANDRINE  CHAMOIS;Les plats délicieux mais un peu chers;Bon produit qualité marchande rien à dire;2; 14 décembre 2022
isabelle leze;Bon produit qualité marchande rien à…;Application simple d'utilisation, on peut sauter une semaine en un clic.La livraison se fait de manière fluide;4; 13 janvier 2023
Rukia;Application simple d'utilisation;Je suis satisfaite globalement du service. Cependant je trouve que l'on retrouve trop souvent le poireau dans les recettes. Et qu'il n'y a pas assez de recettes françaises.;5; 09 janvier 2023
Gaëlle Laboureur;Je suis satisfaite globalement du…;Menus variés, copieux , et vraiment super bon ! ...toutes les recettes que nous avons essayées étaient vraiment très bonne ( en même temps on les choisis en fonction de nos goûts) vraiment très agréablement surpris par la qualité, la variété, et l'originalité des recettes....pour un prix vraiment très bien placé !!! .....nous commandons depuis 5 /6 semaines maintenant, en faisant des pauses a la semaine quand nous le souhaitons ! .....seul petit soucis a cause duquel je n' ai pas mis 5 étoiles, c est la livraison, en effet, a deux reprises , la livraison prévue samedi matin n a pu être honorée ! (Problème avec livreur chronofresh ) et nous avons été livré le lundi matin...... Je peux comprendre qu il puisse y avoir un problème, mais le choix du jour de la livraison par nos soins est très importante !!! ,du coup cela pourrait être la cause d un arrêt des commandes si cela venait à se répéter encore ! ...ça serait vraiment dommage car pour le reste c est vraiment top .;4; 17 janvier 2023
Pierre Marcelli;Menus aussi bon que variés;Dernière livraison paye mais non reçu. Personne n’a su me dire où était mon colis ……;4; 13 janvier 2023
Chloé  Raimbert;Dernière livraison paye mais non reçu;"Une copine m'en a parlé et ma première réaction était:""ouais, bof peut-être que j'essayerais mais je ne suis pas convaincue des avantages"". J'ai mis un peu de temps et j'ai franchi le pas avec un super code promo. Aujourd'hui j'attends avec impatience le livreur tous les lundis matin. Quel gain de temps et d'énergie. Juste à choisir tes recettes sur l'application et à organiser ta semaine.  Plus de courses à faire (en plus tu ne trouves pas toujours tout dans un seul magasin) plus de perte de temps à chercher des recettes. En plus les recettes sont variées et pour tous les goûts. J'adore et je recommande, c'est un vrai gain de temps et un plaisir de cuisiner. De plus, je trouve qu'il y a peu de déchets. J'utilise le sac qui contient les aliments comme poubelle et hop direction le compost.";4; 16 janvier 2023
Virginie THUILLIER;Pourquoi pas plus tôt !;Recette simple, facile à suivre, bien expliquée. Plus de courses à faire. Le poisson est livré sur un pochon de glace. Pas obligé de prendre des menus toutes les semaines. C'est parfait pour ma fille et moi. Nous faisons la cuisine chacune notre tour. C EST PARFAIT.Un p'tit bémol pour la livraison des feuilles de laurier, vous pouvez surement faire mieux.;1; 08 janvier 2023
Sylvie M;Recette simple;Le service de livraison est impeccable. Les produits sont frais et de bonnes qualité. Les recettes très bonnes et facile à suivre. 2 petits axes d’amélioration :Les poissons ont des dates de péremption beaucoup trop courte (3 jours parfois). Les menus ont trop peu de viande à mon goût.;5; 17 janvier 2023
SAYAG;Excès de message d'avis;Ne pas envoyez de message partagez votre avis avant même que l'on ait reçu la première livraison ce serait bien. :);3,5; 17 janvier 2023
LAURENCE JAREMCZUK;Recettes très originales et variées;le concepts est intéressant mais il faut avoir le temps de cuisiner. avez vous déjà pensé a faire des recettes compatibles avec la le robot Thermomix? Cela serait génial.;2; 15 janvier 2023
palmira schulze;le concepts est intéressant mais il…;Bon au-delà du fait d'avoir reçu de la mozarella périmé, j'ai eu un bon retour du support avec notamment un remboursement de l'ensemble de la commande et en plus un avoir du prix de la commande. Content dans l'ensemble, des fois des portions trop petites mais ça arrive relativement rarement. Dans l'ensemble, je suis content, les produits sont frais et bons.;5; 11 janvier 2023
LDLCPremierScalpeurDeFrance;Content dans l'ensemble;J'ai reçu une vingtaine de paniers et déjà plusieurs recettes sont revenues.De plus les portions de viande et de poissons sont trop légères (100g par personne alors que j'attends 150g par personne).Beaucoup de pâtes et de riz comme base. Il serait bien de prévoir davantage de légumes tels que de la ratatouille, gratin de chou fleur, gratin de blettes, tian de légumes...;3; 08 janvier 2023
Elodie Heneaux;Manque de diversité, portions de protéines trop légères;1ere semaine livrée sans viande, certes il y a un avoir mais qui ne sera effectif qu'après les codes de réduction, donc obligation de prendre plusieurs semaines.;4; 17 janvier 2023
Lulu Bl;1ere semaine livrée sans viande;Bon plat, même si la box je n'avais pas pu la modifié. Les plats prennent du temps mais en général le goût est toujours la même sans être un grand cuisinier;4; 03 janvier 2023
Alexandre;Resultat gustatif garanti;J'adore, je reçois tous mes fruits et légumes de la semaine avec les fiches recettes. C'est simple clair et facile à réaliser, pas besoin de savoir qu'est-ce que je vais faire à manger ce soir et et une demi heure max c'est prêt et c'est très bon. Ca m'a remis devant mes casseroles et à cuisiner et surtout à me regaler. Je ne regrette pas et je pense que je vais continuer comme ça merciiiii;2; 04 janvier 2023
sandrine;J'adore;Les + : Très bon service, on apprécie les nombreuses recettes originales au choix, recettes faciles à suivre et bien faites, recettes savoureuses, fraîcheur des produits.Les - : Prix par repas un peu cher (surtout quand peu de repas/semaine, pour une personne seule par exemple). Horaire de livraison donné au dernier moment. Certaines dates de péremption arrivent à terme avant la fin de semaine en cours. Produits d'origine France mais pas biologiques, peu de traçabilité. Beaucoup d'emballages plastique.;4; 16 janvier 2023
Léo M;Très bon service mais pas parfait;J'aime les plat que j'ai préparé.par contre je souhaiterai un peu plus de variétés sur les plats proposé.avoir de bon cadeaux pour les bon clients, il a fallu que je vous appel pour obtenir un cadeau que je ne sais pas ce que sait, vu que j'ai reçu qu'une tablette de chocolat depuis mon inscription.ET je souhaiterai vous redonner les cartons qui ne m'ai pas utile.;5; 16 janvier 2023
Armelle Meyer;Tout est parfait;On m’annule ma commande, sous prétexte que j’ai déjà bénéficié d’un code de bienvenue, hors c’est la première fois que je passe commande suite à un parrainage de ma sœur, après échange avec le service client désastreux, on fais rien pour arranger en me disant que c’est une erreur d’une autre employée !;4; 16 janvier 2023
Marilka DE CASTRO;J'aime les plat que j'ai préparé.;J'adore recevoir mes recettes et les cuisiner. le seul point négatif c'est qu'il manque un peut en quantité mon conjoint à encore faim après son assiette.;5; 16 janvier 2023
Rebecca;On m’annule ma commande;J'ai reçu ma première box il y a une semaine : 3 repas pour 2 personnes. Le colis est bien organisé avec un panier pour chacune des recettes choisies. La livraison se fait par Chronopost en athmosphère réfrigérée et les produits arrivent très frais. J'ai réalisé mes 3 recettes et toutes étaient très bonnes et faciles à réaliser. Un petit bémol concernant la viande, 100 gr/personne c'est peut-être un peu juste pour un homme ou un gros mangeur.;4; 16 janvier 2023
Manon Gde;J'adore recevoir mes recettes et les…;Les boxs HelloFresh permettent de découvrir de nouvelles saveurs ou d'associer des aliments d'une nouvelle facon. Parfois très original! Parfois classique c'est ce qui fait le meilleur atout de la société! Recettes faciles à suivre avec les fiches on adore;1; 17 janvier 2023
Florence SEGONI;Première expérience Hellofresh;Un peu chèr mais pratique pour faire de nouvelle recettes;5; 10 janvier 2023
Isabelle H;Nous sommes ravis!;Les produits sont de qualités et fraisEt facile à cuisiner avec la fiche bien détaillée de bon plat équilibré et de saison;4; 10 janvier 2023
Blandine Lobre;Un peu chèr mais pratique pour faire de…;Pas mal du tout, les recettes que j'ai goûté jusqu'à présent sont bonne, plutôt facile à faire, et copieuse.;4; 16 janvier 2023
eric mohier;Cuisine facile;Les menus sont variés, les associations parfois surprenantes (pour ma part), les quantités raisonnables, sans gaspillage et de bon rapport qualité/prix.Sur la dernière livraison, il manquait les dés de chorizo et la surprise, dommage.;4; 30 novembre 2022
Lolo;Pas mal du tout;Très bien, pratique, portions généreuses. Gain de temps, et plus besoin de faire ses courses(;4; 16 janvier 2023
Valérie GOASGUEN;Gros problème avec ma livraison que je…;"Gros problème avec ma livraison que je n'arrive pas à récupérer j'ai demandé un repassage ce mardi et le livreur m'appelle en me disant que la consigne était """"personne toute la semaine""!!!";3,5; 16 janvier 2023
Jeanne F;Les produits sont de qualité et en…;Les produits sont de qualité et en quantité suffisante pour chaque recette, c'est succulent et c'est très agréable de pouvoir avoir du renouveau dans l'assiette et de partager la préparation en famille. Le seul souci ce sera le prix après les 3 semaines de remise, c'est beaucoup trop pour ma fille et moi par semaine.;1; 10 janvier 2023
Marjorie;Choix dans les recettes;Choix dans les recettes.  Légumes frais.  Seule problème je ne sais pas envoyer de message car je serais absente à la livraison;5; 11 janvier 2023
Emilie b;vous me permettez d'avoir de nouvelles…;vous me permettez d'avoir de nouvelles idées dans mes repas, les quantités sont bonnes et tout est frais.Par contre peut etre trop de recette asiatique et moins de recette traditionnelle.Quelques problemes avec la selection de repas non premium facturé en premium.;5; 10 janvier 2023
Berangere Verlodt;Les repas sont bien expliqués;Les repas sont bien expliqués. Il y a tt ce qu il faut  c est frais .tout ce que je recherche en venant chez hellofresh .;4; 11 janvier 2023
Thomas Labalette;Les portions sont parfois un peu trop…;Les portions sont parfois un peu trop petites. Lorsque la livraison ne peut pas être réalisée le jour même, il devrait être plus facile de reporter à une date choisie. J’ai eu ce problème et j’ai perdu facilement 2h pour avoir votre service client afin d’expliquer que je ne pourrai pas récupérer la commande le lendemain et donc que le retard de livraison de 24h me forçait à annuler le panier de la semaine.;4; 16 janvier 2023
cliente;Supert tout se qu’il faut pour un bon…;Supert tout se qu’il faut pour un bon repas j’adore avec des bon produit frais;3; 16 janvier 2023
Celine Gerbaud;Recettes diversifiées;Recettes diversifiées même si il y a beaucoup de poireaux dans les recettes. Maintenant je fais attention à ce que je cuisine pour diversifié encore plus.Un.peu chronophage et beaucoup de vaisselle mais on s'adapte.Ça donne des idées de cuisine...economise du temps aux courses..moins de déplacements.;5; 11 janvier 2023
fournier;Très bien dans l ensemble;Très bien dans l ensemble Peut être trop souvent les mêmes ingrédients dans les recette (Dans certaines box beaucoup de champignons, ou epinard ) il faudrait varier les accompagnements Mais de la reste très bon et original pour certaines recette Attention à la salade déjà 2 sachets pas très fraîche et belle;4; 04 janvier 2023
Séverine pébergé;Un gagne temps;Plus besoin d'aller dans les magasins faire les courses , gagne temps et d'argent et toute la famille se régal.;4; 10 octobre 2022
Am�lie;Ravie;Simple  rapide  et pas besoin de faire les courses;5; 13 janvier 2023
Estelle Cuvelier;Qualité des produits au top !;Très contente des repas choisis. Le créneau de livraison a été respecté, les produits sont bien emballés et frais. Les épices sont bien dosées, les plats sont savoureux. Ça permet de cuisiner d'autres plats, de varier et ça évite le casse-tête de faire les courses.J'ai eu la chance de bénéficier de remises suite à un parrainage, j'espère avoir d'autres remises :-) pour continuer à commander.;5; 16 janvier 2023
EVELYNE CASTAING;Attention à l'emballage.;Recettes agréables à cuisiner, ingrédients frais.Emballage à désirer, peu d'effort :Ingrédient manquant, contenu de certaines poches en vrac dans le carton ou autres poches, pastilles numéro collées sur légumes.A faire attention.;5; 16 janvier 2023
Martine  Dufour;Je suis très satisfaite des repas;Je suis très satisfaite des repas! Les recettes sont bien expliquées les ingrédients sont de qualité et j'ai toujours le plaisir de cuisiner c'est excellent à chaque fois ! Par contre je n'ai pas beaucoup de remise et le mail pour la livraison j'aimerais la veille pour que je puisse m organiser  Merci !;4; 16 janvier 2023
FKH;Un peu compliqué la livraison;Un peu compliqué la livraison, et la tranche horaire n'est pas respectée.DLC de certains aliments trop proche.Bon produit et bonne quantité!;5; 16 janvier 2023
Amélie;Récompenser sa clientèle;Voilas plusieurs box que je commande le concept et vraiment bien,produits,recettes, livraison...Mais si je peux vous faire une remarque il est bon de développer votre clientèle avec des offres box, mais il est aussi voire même plus important de fidéliser celle que vous avez déjà. Donc des récompense pour nous et pas seulement pour les autres se serait super.;3; 10 janvier 2023
auwiga hublam;HelloFresh;Très bon produit bonne idée recette malheureusement leur gros point faible la livraison chronofresh qui n'est jamais suivit la plupart du temps pas livré à l'heure ou le bon jour .....;4; 16 janvier 2023
Naelle;Rien a dire ça change la vie;Rien a dire ça change la vie. Des recettes délicieuses;4; 16 janvier 2023
Dunand marie;Déception;J'ai pris hello fresh il y a plusieurs mois et c'était au top. Je me suis réinscrite cela fait plus d'un mois et ça a bien chan. Livreur qui ne monte pas ma box 4 ème étage sans ascenseur j'ai 65 ans. Une semaine sans aucune viande dans les sacs. Et ce matin 3H45 je ne sais toujours pas a quelle heure je serais livrée aujourd'hui. Bref ! Très déçue;5; 16 janvier 2023
Emma Ct;Ravie;J’avoue être bluffée ! Les recettes sont claires et faciles à suivre même quand on est nulle en cuisine. Les produits sont frais, et les recettes permettent de faire de belles découvertes. Pour l’instant je n’ai fait que me régaler. J’ai enlevé une étoile uniquement pour le coût parce que c’est tout de même onéreux (par contre pour une famille je pense que c’est ultra correct, le prix étant dégressif ..);3; 15 janvier 2023
marion;Mes 3 recettes étaient délicieuses;Mes 3 recettes étaient délicieuses, les produits de très bonnes qualités, des recettes que je connaissais pas donc une très belle découverte avec des saveurs très agréables;3,5; 15 janvier 2023
GILBERT EME;QUANTITÉ VIANDE et ou POISSON MINIMES;Bonjour,Nous sommes globalement satisfaits des services d' HelloFresh mais nous sommes franchement très déçus des quantités vraiment minime concernant la viande et le poisson.En effet, 100 grammes par personne c'est vraiment un peu juste !!!;5; 10 janvier 2023
Charent;pour les débordés !;Concept parfait pour moi qui n'ai pas le temps de faire des courses ! Cela me permet d'avoir quelques vrais repas chaque semaine.Je mets 4 sur 5 et non 5 pour la raison suivante :il y a de plus en plus de recette sans viande ni poisson et les propositions dans les recettes en comprenant sont de plus en plus petite. Neanmois, mon rapport temps de travail non perdu est positif pour moi;2; 01 janvier 2023
Celine MARGUERITE;Toujours de très bonnes recettes bien…;Toujours de très bonnes recettes bien concues.Par contre un petit bémol, la date limite des viandes st toujours juste juste;4; 15 janvier 2023
Sonia VERCRUYSSE;Pratique, simple et efficace !;C'est très pratique de se faire livrer tout ce dont on a besoin pour cuisiner les recettes choisies. Pas besoin de calculer les quantités, de faire les courses parfois à différents endroits, tout est livré prêt à l'emploi.Les recettes sont simples et le choix suffisamment varié pour moi.;4; 15 janvier 2023
LUNA BRIELLE;Les modifications ne s´enregistrent pas;"Chaque modification que je fais sur ma box n´est pas prise en compte (même après avoir reçu le message ""vos modifications ont bien été enregistrées"")Je me retrouve avec des recettes que je ne voulais pas et aucun moyen de contacter le service client en direct.";4; 15 janvier 2023
paul decalf;Beaucoup trop chere pour ce que c'est !;Je suis très satisfaite des repas , les produits sont frais, les recettes simple et bien expliquées , copieuses et bonnes. Le seul bémol c est les produits qui sont arrivés tous mélangés , j ai dû refaire chaque paquets avec la fiche recette .;1; 14 janvier 2023
Sylvie  Rouquette;Je suis très satisfaite des repas;peut etre pratique mais pas à la hauteur de l'attente;1; 11 janvier 2023
BAYLACQ RAYMOND;"décu de la présentation; et des plats propôsés";Chaque plat est facile à faire, copieux, délicieux La livraison est impeccable Les ingrédients sont emballés recette par recette, pas besoin de chercher;4; 15 janvier 2023
Alice Lehmann;Pas déçue du tout;Produits frais. Recette et réalisation simple et expliciteGoûteux bravo et merci;4; 03 janvier 2023
